,humidity,light,temperature,soil,label
176,60.0,529.166626,28.0,49.70904968,0.0
177,71.0,726.0,20.0,30.0,2.0
178,72.0,306.666656,27.6,50.0,1.0
179,71.0,122.499992,28.0,49.50059557,1.0
180,70.0,340.833313,28.0,46.10845297,1.0
181,78.0,0.0,25.299999,29.31494266,0.0
182,59.0,22.0,31.0,35.0,3.0
183,76.0,642.5,23.0,49.58848797,0.0
184,63.0,185.0,32.0,30.0,3.0
185,64.0,304.166656,28.0,49.59396936,0.0
186,69.0,820.833313,27.6,48.66676911,1.0
187,71.0,273.333313,28.0,60.0,1.0
188,68.0,1433.0,20.0,44.0,3.0
189,64.0,260.833313,29.0,56.4,2.0
190,79.0,0.0,24.799999,50.0,0.0
191,73.0,10.0,27.6,49.51315261,0.0
192,53.0,453.333313,29.0,49.70904968,2.0
193,62.0,2949.0,27.0,49.0,2.0
194,75.0,0.0,27.1,49.70904968,0.0
195,54.0,909.0,31.0,51.0,3.0
196,59.0,56.666664,28.0,49.58848797,0.0
197,61.0,100.833328,28.0,49.59396936,0.0
198,53.0,585.0,25.0,37.0,1.0
199,67.0,2115.833252,28.0,48.74362379,0.0
200,67.0,481.66665599999993,27.1,49.39285613,0.0
201,66.0,41.666664,28.5,49.39285613,1.0
202,60.0,41.666664,28.5,50.0,1.0
203,48.0,4793.333008,33.299999,49.58103521,3.0
204,55.0,738.0,22.0,59.0,3.0
205,79.0,34.166664000000004,23.799999,49.59396936,0.0
206,67.0,71.666664,28.5,30.0,2.0
207,75.0,0.0,27.6,50.20475719,0.0
208,67.0,2707.0,27.0,41.0,3.0
209,59.0,358.0,20.0,38.0,3.0
210,54.0,1843.0,29.0,60.0,3.0
211,80.0,4803.333008,33.799999,50.3900634,3.0
212,79.0,2782.0,28.0,31.0,2.0
213,66.0,1046.0,28.0,31.0,3.0
214,77.0,107.499992,25.799999,50.10517382,0.0
215,72.0,430.833313,27.6,49.51117047,1.0
216,60.0,47.5,28.5,40.2,1.0
217,71.0,203.333328,27.6,49.51117047,1.0
218,74.0,1477.0,32.0,37.0,2.0
219,46.0,561.666626,31.299999,50.0,2.0
220,73.0,249.999985,26.200001,30.0,1.0
221,71.0,64.0,28.0,57.0,2.0
222,65.0,356.666656,28.0,49.39285613,0.0
223,69.0,25.833332,28.0,70.2,0.0
224,62.0,268.333313,29.0,49.39080431,2.0
225,75.0,0.0,27.6,50.01564217,0.0
226,70.0,804.166626,27.6,48.91894589,1.0
227,70.0,1146.666626,28.0,49.39080431,1.0
228,77.0,0.0,25.299999,60.5,0.0
229,80.0,14.0,30.0,37.0,0.0
230,71.0,124.999992,28.0,49.39080431,1.0
231,64.0,2462.0,28.0,51.0,3.0
232,64.0,330.833313,28.5,49.39080431,2.0
233,74.0,452.499969,24.799999,49.39080431,0.0
234,73.0,347.5,25.299999,50.0,0.0
235,79.0,0.0,24.5,49.98015822,0.0
236,76.0,0.0,26.700001,49.83852295,0.0
237,72.0,318.333313,26.700001,50.3900634,1.0
238,73.0,440.833313,24.799999,30.0,0.0
239,77.0,361.666656,24.1,49.58848797,0.0
240,60.0,231.0,25.0,62.0,2.0
241,70.0,750.0,27.6,49.05090631,1.0
242,66.0,733.0,21.0,60.0,2.0
243,75.0,0.0,26.700001,50.20435309,0.0
244,68.0,1195.0,28.0,49.8893591,0.0
245,78.0,0.0,26.200001,50.0,0.0
246,77.0,0.0,26.4,49.59396936,0.0
247,60.0,104.999992,28.5,49.51117047,2.0
248,73.0,4342.5,23.799999,50.0,0.0
249,79.0,0.0,24.5,49.39080431,0.0
250,68.0,1177.5,28.0,48.92170055,0.0
251,69.0,903.333313,26.200001,46.10845297,1.0
252,77.0,0.0,25.299999,36.44568367,0.0
253,60.0,40.833332,28.5,46.10845297,1.0
254,75.0,0.0,27.1,49.81608362,0.0
255,73.0,1403.0,32.0,37.0,2.0
256,60.0,718.0,25.0,53.0,3.0
257,68.0,727.5,27.6,55.0,0.0
258,78.0,524.166626,23.0,60.0,0.0
259,56.0,1982.0,28.0,65.0,2.0
260,62.0,123.333328,28.9,50.3900634,2.0
261,76.0,0.0,26.200001,49.8753594,0.0
