,humidity,light,temperature,soil,label
57,74,0.0,27.1,50.15532621,0
22,67,50.833332,28.5,49.67981981,1
222,70,289.166656,27.6,50.04136289,1
658,71,194.999985,28.0,49.70904968,1
69,75,0.0,27.1,49.79405892,0
578,59,39.166664000000004,28.0,50.0,0
162,69,827.4999389999999,27.6,49.23334255,1
785,64,260.833313,29.1,70.2,2
304,78,0.0,26.200001,49.50059557,0
994,66,1004.0,24.0,43.0,2
671,70,134.16665600000002,28.0,56.7,1
854,62,1739.0,30.0,38.0,3
203,68,894.999939,28.0,50.2,0
771,62,93.33332800000001,29.299999,49.39285613,2
226,72,249.16665600000002,27.6,49.77880291,1
664,70,249.999985,28.0,30.0,1
681,70,1364.166626,28.0,49.58848797,1
997,60,1507.0,20.0,75.0,1
444,77,629.166626,23.4,49.39080431,0
82,76,0.833333,26.700001,49.80582535,0
129,72,2486.666504,25.799999,49.69986818,0
919,62,1132.0,22.0,37.0,3
425,77,388.333313,23.799999,49.39080431,0
152,68,1634.9998779999999,28.0,48.55999216,0
897,63,334.0,25.0,64.0,2
965,71,176.0,24.0,37.0,2
842,68,822.0,31.0,79.0,2
660,71,117.49999199999999,28.0,49.50059557,1
379,79,0.0,24.5,49.58848797,0
76,75,0.0,26.700001,50.0,0
998,76,1608.0,20.0,30.0,0
519,61,93.33332800000001,28.5,49.50059557,2
114,77,119.16666399999998,25.799999,50.17944645,0
452,75,1085.0,23.799999,57.54229299,0
326,77,0.0,25.299999,30.0,0
547,61,69.166664,28.0,70.2,0
499,53,374.166656,28.9,49.39080431,2
634,73,355.833313,27.1,49.70904968,1
122,73,162.5,24.799999,49.7224235,0
28,69,8.333333,28.0,49.61741674,0
466,46,4803.333008,33.799999,49.39285613,3
468,80,5178.333008,34.700001,49.51117047,3
793,70,32.5,28.0,30.0,0
332,77,0.0,25.299999,40.2,0
357,79,0.0,24.799999,49.58848797,0
865,50,2273.0,27.0,53.0,3
972,69,271.0,27.0,70.0,1
462,72,4903.333008,24.5,50.390063399999995,0
338,78,0.0,25.299999,50.0,0
25,68,19.166666,28.5,49.71086027,1
704,67,530.0,27.1,49.39285613,0
598,73,394.999969,24.799999,50.0,0
733,64,318.333313,28.1,49.98015822,2
726,65,384.166656,28.0,49.39285613,0
84,76,0.0,26.200001,50.05726369,0
233,73,165.833328,27.6,49.70904968,1
744,63,188.333328,28.5,50.390063399999995,2
778,62,323.333313,29.299999,49.98015822,2
934,65,2457.0,24.0,53.0,3
369,79,0.0,24.5,49.39285613,0
593,60,499.999969,28.0,49.50059557,0
551,60,62.499995999999996,28.0,40.2,0
436,78,542.5,22.6,30.0,0
561,58,50.833332,28.0,40.2,0
473,52,2350.833252,30.200001,49.98015822,3
484,52,485.833313,29.299999,50.390063399999995,2
151,68,1669.166626,28.0,48.98441278,0
29,69,7.5,28.0,49.71778806,0
158,70,1165.833252,27.6,48.75005511,1
558,59,53.33333199999999,28.0,56.4,0
677,70,4447.5,28.0,56.4,1
43,73,10.0,27.6,50.0,0
706,67,458.333313,27.1,49.51117047,0
116,76,138.333328,24.1,50.34994843,0
835,66,929.0,25.0,33.0,3
945,64,2597.0,32.0,44.0,3
446,76,678.333313,23.0,60.0,0
568,59,50.833332,28.5,70.3,1
177,70,1290.833252,27.6,49.00735323,1
889,65,467.0,22.0,38.0,3
925,59,1646.0,28.0,54.0,3
